,hid,hname,hlocation,hstars,hratings,hnearby,hfacilities,hcheckin,hcheckout
0,0,Issara by D Hostel,"125 Fuang Nakhon Road, Phranakhon, 10200 Bangkok, Thailand",,9.2,Thai Chamber of commerce 0.2 km; Wat Ratchapradit 0.3 km; Sala Chalermkrung Royal Theatre 0.3 km; The Old Siam Plaza 0.4 km; Wat Suthat and the Giant Swing 0.4 km; Wat Pho 0.6 km; Temple of the Emerald Buddha 0.6 km; Bangkok City Pillar 0.6 km; Museum of Siam 0.6 km; Grand Palace 0.7 km; Old Town Coffee 0.2 km; 7/11 0.2 km; Local Morning Market 0.3 km; The old siam plaza  0.5 km; Krua AupSorn 0.8 km; Sorn Dang 0.9 km; Chao Phraya River 1 km; Don Muang Airport 22.2 km; Suvarnabhumi Airport 28 km; Temple of the Golden Mount 1.1 km; Khao San Road 1.2 km; Bangkok National Museum 1.2 km; Wat Arun 1.2 km; Dusit Palace 3.1 km; MBK Shopping Mall 3.5 km; Bangkok Art & Culture Centre 3.5 km; SEA LIFE Bangkok Ocean World 4 km; Siam Discovery 4.2 km; Central Embassy 5.2 km; ,Non-smoking rooms; WiFi in all areas; Free WiFi; Restaurant; 24-hour front desk; Wonderful Breakfast,"
Wednesday, February 20, 2019
","
Thursday, February 21, 2019
"
0,1,Solo Express Sukhumvit 81,"120 Soi Sukhumvit 81, Phra Khanong , 10260 Bangkok, Thailand",3-star hotel,7.9,BTS-On Nut 0.5 km; BTS-Bang Chak 1.1 km; W District's Market 1.5 km; BTS-Phra Khanong 1.8 km; BTS - Punnawithi 1.9 km; Sukhumvit Hospital 2.4 km; Gateway Ekamai 2.6 km; Bangkok University International College 2.6 km; BTS-Ekkamai 2.7 km; Ekkamai Eastern Bus Terminal 2.7 km; Wcafe Bangkok Sukhumvit 81 0.2 km; Suvarnabhumi Airport 15.8 km; Don Muang Airport 23.8 km; Arab Street 6.9 km; Lumpini Park 7.4 km; Central Embassy 7.7 km; Amarin Plaza 8.1 km; Gaysorn Shopping Mall 8.2 km; MBK Shopping Mall 9.2 km; Mega Bangna 10.3 km; Temple of the Golden Mount 11.9 km; Grand Palace 13.2 km; Wat Arun 13.3 km; ,Non-smoking rooms; Family rooms; Free parking; WiFi in all areas; Facilities for disabled guests; Free WiFi; Breakfast,"Wednesday, February 20, 2019","Thursday, February 21, 2019"
0,2,Grand Business Inn,"2/4, 2/11 Sukhumvit 11, Sukhumvit Road, Wattana, Wattana, 10110 Bangkok, Thailand",,8.0,BTS-Nana 0.1 km; Embassy of Sweden 0.2 km; Sukhumvit Soi 11 0.2 km; Wattana Church 0.2 km; Korean Town 0.3 km; Soi Nana 0.4 km; Arab Street 0.4 km; Health Land Asoke 0.5 km; Krungthai Bank Head Office 0.5 km; Terminal 21 0.5 km; 7-11 0.1 km; Don Muang Airport 20.6 km; Suvarnabhumi Airport 21.6 km; Central Embassy 1.2 km; Amarin Plaza 1.7 km; Gaysorn Shopping Mall 1.8 km; Lumpini Park 1.9 km; SEA LIFE Bangkok Ocean World 2.4 km; MBK Shopping Mall 2.9 km; Temple of the Golden Mount 5.6 km; Grand Palace 7.1 km; Wat Arun 7.4 km; Mega Bangna 16.9 km; ,Non-smoking rooms; Free WiFi; Restaurant; 24-hour front desk; Room service,"Wednesday, February 20, 2019","Thursday, February 21, 2019"
0,3,Anantara Baan Rajprasong Bangkok Serviced Suites,"3 Soi Mahardlekluang 3, Rajdamri Road, Lumpini,, Pathumwan, 10330 Bangkok, Thailand",5 stars,8.9,"BTS-Rachadamri 0.1 km; CIMB Thai Bank Head Office 0.3 km; Royal Bangkok Sports Club 0.4 km; Amarin Plaza 0.6 km; Police General Hospital 0.6 km; Erawan Shrine 0.6 km; Embassy of the Kingdom of the Netherlands, Bangkok 0.6 km; Embassy of the United States of America, Bangkok 0.6 km; BTS-Chit Lom 0.6 km; Royal Thai Police Headquarters 0.7 km; Villa Market 0 km; Don Muang Airport 21.3 km; Suvarnabhumi Airport 23.3 km; Gaysorn Shopping Mall 0.7 km; Central Embassy 0.9 km; Lumpini Park 0.9 km; SEA LIFE Bangkok Ocean World 1 km; MBK Shopping Mall 1.3 km; Bangkok Art & Culture Centre 1.4 km; Temple of the Golden Mount 4 km; Grand Palace 5.4 km; Wat Arun 5.7 km; Mega Bangna 18.2 km; ",Swimming pool; Outdoor pool; Airport shuttle; Non-smoking rooms; excellent Fitness Center; Spa,"
Wednesday, February 20, 2019
","
Thursday, February 21, 2019
"
0,4,De Lavender Bangkok Hotel,"122/73, Ratchaprarop Rd, Phaya Thai Rd., Pratunam, Pathumwan, 10400 Bangkok, Thailand",3-star hotel,6.8,Baiyoke Sky Tower 0.1 km; Shibuya 19 0.1 km; Phyathai 1 Hospital 0.2 km; Ratchaprarop Station 0.3 km; Wholesale Market (Pratunam) 0.3 km; Suan Pakkad Palace Museum 0.3 km; Platinum Fashion Mall 0.4 km; Pantip Plaza 0.5 km; Phaya Thai Station 0.5 km; King Power Complex 0.6 km; ใบหยก 0.1 km; อินทรามาร์เกต 0.1 km; platinum fashion mall 0.5 km; central world 0.8 km; Pratunam market 0.1 km; Neon Night Market 0.5 km; Big C Supermarket 1.1 km; กวงทะเลเผา 1.2 km; ปลาทอง หมูกระทะ 1.7 km; แม่น้ำเจ้าพระยา 7 km; Don Muang Airport 19.7 km; Suvarnabhumi Airport 23.8 km; The Platinum fashion mall Mall; Gaysorn Shopping Mall 1.1 km; SEA LIFE Bangkok Ocean World 1.1 km; Amarin Plaza 1.2 km; Bangkok Art & Culture Centre 1.3 km; Central Embassy 1.4 km; MBK Shopping Mall 1.6 km; Siam Discovery 1.8 km; Temple of the Golden Mount 3.5 km; Grand Palace 5.2 km; Wat Arun 5.6 km; ,Airport shuttle; Non-smoking rooms; Spa; Family rooms; WiFi in all areas; Room service,"Wednesday, February 20, 2019","Thursday, February 21, 2019"
0,5,Le Meridien Bangkok,"40/5 Surawong Road, Silom, Bang Rak, 10500 Bangkok, Thailand",5-star hotel,9.0,Patpong 0.2 km; Bangkok Christian Hospital 0.2 km; Silom Nightlife Area 0.3 km; MRT-Sam Yan 0.3 km; Wat Hua Lamphong 0.3 km; Chamchuri Square 0.3 km; Snake Farm-Queen Saovabha Memorial Institute 0.3 km; Embassy of the Russian Federation 0.4 km; Bangkok Bank Head Office 0.4 km; BTS-Sala Daeng 0.4 km; Family Mart Convenience store 0 km; 7-11 Convenience store 0 km; Pat Pong Night Market 0.1 km; Starbucks Coffee 0.1 km; Ruen Urai Thai Restaurant 0.1 km; Mango Tree Thai Restaurant 0.2 km; Food Land Supermarket 0.2 km; D.J.Station 0.4 km; Somboon Potchana Seafood Restaurant 0.5 km; Molly Malone's Irish Pub 0.8 km; Chao Phraya River 2 km; Don Muang Airport 22.6 km; Suvarnabhumi Airport 24.1 km; Silom Complex Department Store; Lumpini Park 1.2 km; MBK Shopping Mall 1.5 km; SEA LIFE Bangkok Ocean World 1.8 km; Bangkok Art & Culture Centre 1.9 km; Amarin Plaza 1.9 km; Central Embassy 2.3 km; Temple of the Golden Mount 3.7 km; Grand Palace 4.8 km; Wat Arun 4.8 km; Mega Bangna 18.5 km; ,Swimming pool; Outdoor pool; Airport shuttle; Non-smoking rooms; very good Fitness Center; Spa; Tea/Coffee Maker in All Rooms; Bar; Excellent Breakfast,"
Wednesday, February 20, 2019
","
Thursday, February 21, 2019
"
0,6,The Emerald Hotel,"99/1 Rachadapisek Road, Huai Khwang, Din Daeng, 10400 Bangkok, Thailand",4-star hotel,7.8,Bangkok International Dental Center 0.3 km; MRT-Huai Khwang 0.4 km; Embassy of the Republic of Korea 0.9 km; Thailand Cultural Center 1 km; Siam Niramit 1 km; The Esplanade Bangkok 1 km; MRT-Thailand Cultural Center 1.1 km; University of the Thai Chamber of Commerce 1.4 km; The Embassy of The People's Republic of China 1.5 km; Ratchada Nightlife Area 1.6 km; Kuang Seafood 0.4 km; Somboon Seafood 0.4 km; Huay Kwang Street Food 0.4 km; The Street Ratchada 0.6 km; Sote Club 1.7 km; Jatujak Weekend Market 7 km; Don Muang Airport 16.5 km; Suvarnabhumi Airport 21.2 km; Chatuchak Weekend Market 3.8 km; Arab Street 4.2 km; Central Embassy 4.5 km; Siam Discovery 4.6 km; Gaysorn Shopping Mall 4.8 km; MBK Shopping Mall 5.9 km; Temple of the Golden Mount 7.6 km; Grand Palace 9.2 km; Wat Arun 9.8 km; Mega Bangna 18.3 km; ,Swimming pool; Outdoor pool; Non-smoking rooms; Fitness center; Spa; Free parking; Bar; Good Breakfast,"
Wednesday, February 20, 2019
","
Thursday, February 21, 2019
"
0,7,Best Western Premier Sukhumvit,"78 Sukhumvit Soi 1, Klongtoey Nua, Bangkok, Wattana, 10110 Bangkok, Thailand",4-star hotel,8.2,"Bumrungrad International Hospital 0.1 km; Krungthai Bank Head Office 0.4 km; BTS - Phloen Chit 0.5 km; Arab Street 0.5 km; Embassy of the United Kingdom, Bangkok 0.6 km; Central Embassy 0.6 km; Deutsche Bank Bangkok 0.7 km; Soi Nana 0.7 km; Sukhumvit Soi 11 0.7 km; Embassy of Sweden 0.8 km; 7-11 0 km; Hyde and Seek gastro bar 0.8 km; Central Embrassy 1 km; Siam Paragon 2 km; Terminal 21 2.5 km; Soi Cowboy 2.5 km; Don Muang Airport 20.1 km; Suvarnabhumi Airport 22.3 km; Amarin Plaza 1.2 km; Gaysorn Shopping Mall 1.2 km; SEA LIFE Bangkok Ocean World 1.8 km; Lumpini Park 2 km; Bangkok Art & Culture Centre 2.3 km; MBK Shopping Mall 2.4 km; Temple of the Golden Mount 4.9 km; Grand Palace 6.5 km; Wat Arun 6.8 km; Mega Bangna 17.7 km; ",Swimming pool; Outdoor pool; Non-smoking rooms; Fitness center; Free parking; WiFi in all areas; Bar; Breakfast,"Wednesday, February 20, 2019","Thursday, February 21, 2019"
0,8,Holiday Inn Express Bangkok Sukhumvit 11,"30 Sukhumvit Soi 11, Klongtoey-Nua, Wattana, Wattana, 10110 Bangkok, Thailand",3-star hotel,7.9,Sukhumvit Soi 11 0.3 km; Arab Street 0.5 km; Bumrungrad International Hospital 0.5 km; BTS-Nana 0.5 km; Embassy of Sweden 0.6 km; Krungthai Bank Head Office 0.6 km; Health Land Asoke 0.6 km; Wattana Church 0.6 km; Soi Nana 0.6 km; Korean Town 0.7 km; Oskar Bistro 0 km; Don Muang Airport 20.1 km; Suvarnabhumi Airport 21.7 km; Central Embassy 1.2 km; Amarin Plaza 1.7 km; Gaysorn Shopping Mall 1.8 km; Lumpini Park 2.2 km; SEA LIFE Bangkok Ocean World 2.4 km; MBK Shopping Mall 3 km; Temple of the Golden Mount 5.5 km; Grand Palace 7.1 km; Wat Arun 7.4 km; Mega Bangna 17.1 km; ,Non-smoking rooms; Fitness center; Family rooms; Free parking; WiFi in all areas; Facilities for disabled guests; Breakfast,"Wednesday, February 20, 2019","Thursday, February 21, 2019"
0,9,Kc Place Hotel Pratunam,"178/35 Rachaparop Soi 5, Rachaparop Road, Pathumwan, 10400 Bangkok, Thailand",3-star hotel,7.9,Ratchaprarop Station 0.1 km; Baiyoke Sky Tower 0.1 km; Wholesale Market (Pratunam) 0.3 km; Phyathai 1 Hospital 0.3 km; Shibuya 19 0.4 km; Suan Pakkad Palace Museum 0.5 km; Platinum Fashion Mall 0.6 km; Pantip Plaza 0.6 km; King Power Complex 0.7 km; Aksra Theatre 0.7 km; KC Place Restaurant 0 km; 7 Eleven 0.1 km; PRatunam 0.1 km; Don Muang Airport 19.6 km; Suvarnabhumi Airport 23.6 km; Gaysorn Shopping Mall 1.1 km; SEA LIFE Bangkok Ocean World 1.2 km; Amarin Plaza 1.2 km; Central Embassy 1.3 km; Bangkok Art & Culture Centre 1.5 km; MBK Shopping Mall 1.8 km; Siam Discovery 1.9 km; Temple of the Golden Mount 3.7 km; Grand Palace 5.4 km; Wat Arun 5.8 km; ,Non-smoking rooms; Family rooms; Free WiFi; 24-hour front desk; Room service,"Wednesday, February 20, 2019","Thursday, February 21, 2019"
