,hid,roomName,bedType,capacity,rackPrice,price,breakfast,features
0,0,2 Beds in 8-Bed Dormitory Room ,2 bunk beds,2,THB 902,THB 902,Wonderful breakfast included; Non-refundable,Air conditioning; Free WiFi; Linens
1,0,2 Beds in 8-Bed Dormitory Room ,2 bunk beds,2,"THB 1,012","THB 1,012","Wonderful breakfast included



Non-refundable",Air conditioning; Free WiFi; Linens
2,0,2 Beds in 4-Bed Dormitory Room,2 bunk beds,2,"THB 1,012","THB 1,012",Wonderful breakfast included; Non-refundable,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Toilet; Towels; Linens; Toilet paper; More
3,0,2 Beds in 4-Bed Dormitory Room,2 bunk beds,2,"THB 1,122","THB 1,122","Wonderful breakfast included



Non-refundable",Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Toilet; Towels; Linens; Toilet paper; More
4,0,Double Room with Shared Bathroom,1 full bed,2,"THB 1,122","THB 1,122",Wonderful breakfast included; Non-refundable,Air conditioning; Free WiFi; Linens; More
5,0,Double Room with Shared Bathroom,1 full bed,2,"THB 1,885.95","THB 1,885.95","Wonderful breakfast included



Non-refundable",Air conditioning; Free WiFi; Linens; More
6,0,Quadruple Room with Shared Bathroom,4 bunk beds,4,"THB 1,885.95","THB 1,885.95",Wonderful breakfast included; Non-refundable,Air conditioning; Free WiFi; Linens; More
7,0,Quadruple Room with Shared Bathroom,4 bunk beds,4,"THB 2,592.86","THB 2,592.86","Wonderful breakfast included



Non-refundable",Air conditioning; Free WiFi; Linens; More
8,0,6-Bed Mixed Dormitory Room,6 bunk beds,6,"THB 2,592.86","THB 2,592.86",Wonderful breakfast included; Non-refundable,Air conditioning; Free WiFi; Linens; More
9,0,6-Bed Mixed Dormitory Room,6 bunk beds,6,"THB 3,339.13","THB 3,339.13","Wonderful breakfast included



Non-refundable",Air conditioning; Free WiFi; Linens; More
