,hid,hname,hlocation,hstars,hratings,hnearby,hfacilities,hcheckin,hcheckout
0,0,P&R Residence,"34 Chanroenkrung 30, Bangrak, Bang Rak, 10500 Bangkok, Thailand",3-star hotel,8.4,"Si Phraya Pier 0.1 km; River City Shopping Complex 0.2 km; Holy Rosary Church 0.3 km; Bangkokian Museum 0.4 km; Embassy of France, Bangkok 0.4 km; The Jam Factory 0.5 km; ICONSIAM Shopping Mall 0.5 km; Oriental Pier 0.6 km; Lerdsin Hospital 0.8 km; Sky Bar at Lebua 0.8 km; krua im aroi 0 km; minimart 0.1 km; Gallery Cafe 0.1 km; 7-11 0.1 km; Talad Noi market  0.1 km; Viva Aviv rivercity 0.1 km; Boots pharmacy 0.1 km; harmonique 0.1 km; never ending summer 0.1 km; Chaophraya river 0 km; Don Muang Airport 23.4 km; Suvarnabhumi Airport 25.8 km; MBK Shopping Mall 2.4 km; Bangkok Art & Culture Centre 2.7 km; SEA LIFE Bangkok Ocean World 3 km; Temple of the Golden Mount 3 km; Lumpini Park 3 km; Wat Arun 3.3 km; Amarin Plaza 3.4 km; Gaysorn Shopping Mall 3.4 km; Grand Palace 3.4 km; Central Embassy 3.9 km; ",Non-smoking rooms; Free WiFi; 24-hour front desk; Air conditioning; Garden; Good Breakfast,"Tuesday, March 19, 2019","Wednesday, March 20, 2019"
0,1,Rambuttri Village Plaza,"95 Soi Ram Buttri, Chakkra Phong Road, Phra Nakorn, 10200 Bangkok, Thailand",2 stars,7.7,Wat Chana Song Khram 0.2 km; Santichaiprakarn Park 0.3 km; Khao San Road 0.3 km; Khao San Road Night Market 0.3 km; Phra Arthit Pier 0.3 km; National Gallery 0.4 km; UNICEF Thailand 0.4 km; Wat Bowonniwet Vihara 0.4 km; Bangkok City Library 0.5 km; Somdet Phra Pinklao Bridge 0.6 km; Rambuttri Terrace 0 km; Coffee Blossom 0 km; Chao Phraya River 0.2 km; Don Muang Airport 21.1 km; Suvarnabhumi Airport 28.5 km; Bangkok National Museum 0.6 km; Temple of the Emerald Buddha 1.2 km; Grand Palace 1.4 km; Temple of the Golden Mount 1.4 km; Wat Arun 2.2 km; Dusit Palace 2.3 km; Siam Discovery 3.8 km; Bangkok Art & Culture Centre 4 km; MBK Shopping Mall 4.1 km; Central Embassy 5.7 km; ,Swimming pool; Outdoor pool; WiFi in all areas; Free WiFi; Restaurant; Bar; Very Good Breakfast,"Tuesday, March 19, 2019","Wednesday, March 20, 2019"
0,2,The Quarter Ari by UHG,"428 Phahonyothin Soi 10 Phahonyothin Road Samsaen Nai Phaya Thai, Phaya Thai, 10400 Bangkok, Thailand",4-star hotel,9.2,BTS-Ari 0.6 km; Paolo Memorial Hospital 0.9 km; BTS-Sapan Khwai 1.1 km; BTS-Sanam Pao 1.4 km; Kamphaeng Phet MRT Station 1.4 km; Or Tor Kor Market 1.4 km; University of the Thai Chamber of Commerce 1.6 km; Jaisamarn Church 1.7 km; Phyathai 2 Hospital 1.7 km; Chatuchak Weekend Market 1.8 km; Sushi O 0 km; 7 11 0 km; BOOTS 0 km; STARBUCK 0 km; Big C SuperCenter 0.2 km; La Villa 0.5 km; Kab Khaow Kab Pla 0.5 km; FUJI  0.5 km; GRAYHOUR 0.5 km; Jatujak Market 1.9 km; Duty Free King Power  2.9 km; Soi Cowboy 7.4 km; Don Muang Airport 16.3 km; Suvarnabhumi Airport 24.3 km; Siam Discovery 2.5 km; Dusit Palace 3.7 km; Central Plaza Ladprao 4 km; Gaysorn Shopping Mall 4.4 km; SEA LIFE Bangkok Ocean World 4.5 km; Central Embassy 4.5 km; MBK Shopping Mall 4.9 km; Temple of the Golden Mount 5.5 km; Grand Palace 7.1 km; Wat Arun 7.8 km; ,Swimming pool; Outdoor pool; Airport shuttle; Non-smoking rooms; wonderful Fitness Center; Family rooms; Bar,"Tuesday, March 19, 2019","Wednesday, March 20, 2019"
0,3,lebua at State Tower,"State Tower 1055/111 Silom Road, Bangrak, Bang Rak, 10500 Bangkok, Thailand",5-star hotel,8.9,"Sky Bar at Lebua 0.1 km; Lerdsin Hospital 0.1 km; Oriental Pier 0.4 km; Embassy of France, Bangkok 0.4 km; BTS-Saphan Taksin 0.5 km; Sathorn Pier 0.5 km; BTS-Surasak 0.6 km; Taksin Bridge 0.6 km; Wat Yannawa 0.7 km; Sri Mariamman Temple (Wat Khaek) 0.7 km; Bangrak Market 0.2 km; Top market at Robinson Bangrak 0.3 km; Iconsiam 1.6 km; Asiatique the riverfront 3 km; Chao Phraya Riview 0.4 km; Don Muang Airport 24 km; Suvarnabhumi Airport 25.5 km; MBK Shopping Mall 2.8 km; Lumpini Park 2.9 km; Bangkok Art & Culture Centre 3.1 km; SEA LIFE Bangkok Ocean World 3.3 km; Amarin Plaza 3.6 km; Gaysorn Shopping Mall 3.7 km; Temple of the Golden Mount 3.7 km; Wat Arun 3.9 km; Central Embassy 4 km; Grand Palace 4.2 km; ",Swimming pool; Airport shuttle; very good Fitness Center; good Spa & Wellness Center; Family rooms; Free parking; Bar; Wonderful Breakfast,"Tuesday, March 19, 2019","Wednesday, March 20, 2019"
0,4,Adelphi Suites Bangkok,"6 Sukhumvit Soi 8, Khlong Toei, 10110 Bangkok, Thailand",4-star hotel,9.0,"Wattana Church 0.2 km; BTS-Nana 0.2 km; Embassy of Sweden 0.2 km; Korean Town 0.2 km; Soi Nana 0.4 km; Sukhumvit Soi 11 0.4 km; Arab Street 0.5 km; Terminal 21 0.5 km; BTS-Asok 0.5 km; Health Land Asoke 0.6 km; Monsoon Restaurant 0 km; India Today 0.1 km; Villa Market 0.2 km; 7- Eleven 0.2 km; Rosabieng Thai Restaurant 0.3 km; Robinson Department Store 0.5 km; Don Muang Airport 20.8 km; Suvarnabhumi Airport 21.7 km; Terminal 21 Popular brands like: H&M, Nike; Central Embassy 1.2 km; Amarin Plaza 1.7 km; Lumpini Park 1.7 km; Gaysorn Shopping Mall 1.8 km; SEA LIFE Bangkok Ocean World 2.4 km; MBK Shopping Mall 2.9 km; Temple of the Golden Mount 5.6 km; Grand Palace 7 km; Wat Arun 7.3 km; Mega Bangna 16.8 km; ",Swimming pool; Outdoor pool; Non-smoking rooms; very good Fitness Center; Free parking; WiFi in all areas; Bar; Very Good Breakfast,"Tuesday, March 19, 2019","Wednesday, March 20, 2019"
0,5,Novotel Bangkok Platinum Pratunam,"220 Petchaburi Road, Ratchathewi, Pathumwan, 10400 Bangkok, Thailand",4-star hotel,8.4,"Platinum Fashion Mall 0.3 km; Wholesale Market (Pratunam) 0.3 km; Pantip Plaza 0.4 km; Central World Plaza 0.4 km; Baiyoke Sky Tower 0.5 km; Gaysorn Shopping Mall 0.5 km; Shibuya 19 0.6 km; Ratchaprarop Station 0.6 km; Erawan Shrine 0.6 km; Police General Hospital 0.6 km; Central World 0 km; Kung Heng Kai Ton Pratunam 0 km; Central Chidlom 0.1 km; HOBS ( House of Beers) 0.1 km; Wine I Love You 0.1 km; Chatuchak Weekend Market 10 km; Benjakiti Lake 6 km; Chaophaya River 7 km; Don Muang Airport 20.2 km; Suvarnabhumi Airport 23.6 km; The Platinum fashion mall Mall; Central World Plaza Popular brands like: Apple, H&M, Zara, Nike; Amarin Plaza 0.7 km; SEA LIFE Bangkok Ocean World 0.7 km; Central Embassy 0.9 km; Bangkok Art & Culture Centre 1.1 km; MBK Shopping Mall 1.3 km; Arab Street 1.7 km; Lumpini Park 2.1 km; Temple of the Golden Mount 3.6 km; Grand Palace 5.2 km; Wat Arun 5.6 km; ",Swimming pool; Outdoor pool; Airport shuttle; Non-smoking rooms; good Fitness Center; Spa; Tea/Coffee Maker in All Rooms; Bar; Good Breakfast,"Tuesday, March 19, 2019","Wednesday, March 20, 2019"
0,6,Novotel Bangkok Ploenchit Sukhumvit,"566 Ploenchit, Lumpini, Pathumwan, Pathumwan, 10330 Bangkok, Thailand",4-star hotel,8.8,"BTS - Phloen Chit 0.1 km; Deutsche Bank Bangkok 0.1 km; Krungthai Bank Head Office 0.3 km; Embassy of the United Arab Emirates 0.3 km; Soi Nana 0.4 km; Arab Street 0.4 km; Central Embassy 0.4 km; Embassy of the United Kingdom, Bangkok 0.5 km; Embassy of the Kingdom of the Netherlands, Bangkok 0.5 km; Bumrungrad International Hospital 0.5 km; Hyde & Seek Gastro Bar 0 km; Villa Market 0.1 km; La Monita 0.1 km; Max Value 0.2 km; Starbucks 0.2 km; Dean & Deluca 0.3 km; Paul London 0.3 km; Paragon Shopping Center 1.9 km; Siam Square 1.9 km; Pratuman Market 3.3 km; Chaophaya Riverphaya River 6 km; Don Muang Airport 20.6 km; Suvarnabhumi Airport 22.4 km; Amarin Plaza 0.9 km; Gaysorn Shopping Mall 1 km; Lumpini Park 1.5 km; SEA LIFE Bangkok Ocean World 1.6 km; Bangkok Art & Culture Centre 2.1 km; MBK Shopping Mall 2.2 km; Temple of the Golden Mount 4.8 km; Grand Palace 6.3 km; Wat Arun 6.6 km; Mega Bangna 17.6 km; ",Swimming pool; Outdoor pool; Airport shuttle; Non-smoking rooms; very good Fitness Center; Spa; Tea/Coffee Maker in All Rooms; Bar; Very Good Breakfast,"Tuesday, March 19, 2019","Wednesday, March 20, 2019"
0,7,Pullman Bangkok Grande Sukhumvit,"30 Sukhumvit 21, Asoke Road, Wattana, 10110 Bangkok, Thailand",5-star hotel,8.7,"MRT-Sukhumvit 0.1 km; Kamthieng House Museum 0.1 km; Soi Cowboy 0.2 km; Terminal 21 0.2 km; Health Land Asoke 0.2 km; The Escape Hunt Experience Bangkok 0.3 km; Citibank Bangkok 0.3 km; BTS-Asok 0.3 km; Korean Town 0.4 km; Sukhumvit Soi 11 0.7 km; Soi Cowboy 0.1 km; Terminal 21 Shopping Mall 0.5 km; Terminal 21 Shopping Mall 0.5 km; Top Supermarket 0.6 km; Korean Town 0.8 km; Emporium, The EmQuartier, Central Embassy 1.3 km; Seafood Market and Restaurant 2.2 km; Train Night Market Ratchada 3.1 km; Chatuchak Weekend Market (JJ Market) 9 km; Benjakiti Lake 2 km; Chaophaya River 2 km; Don Muang Airport 20.7 km; Suvarnabhumi Airport 21 km; Terminal 21 Popular brands like: H&M, Nike; Arab Street 1 km; Central Embassy 1.8 km; Amarin Plaza 2.3 km; Lumpini Park 2.3 km; Gaysorn Shopping Mall 2.4 km; MBK Shopping Mall 3.6 km; Temple of the Golden Mount 6.2 km; Grand Palace 7.7 km; Wat Arun 8 km; Mega Bangna 16.3 km; ",Swimming pool; Outdoor pool; Airport shuttle; Non-smoking rooms; very good Fitness Center; Spa; Tea/Coffee Maker in All Rooms; Bar; Very Good Breakfast,"Tuesday, March 19, 2019","Wednesday, March 20, 2019"
0,8,Holiday Inn Express Bangkok Sukhumvit 11,"30 Sukhumvit Soi 11, Klongtoey-Nua, Wattana, Wattana, 10110 Bangkok, Thailand",3-star hotel,7.9,Sukhumvit Soi 11 0.3 km; Arab Street 0.5 km; Bumrungrad International Hospital 0.5 km; BTS-Nana 0.5 km; Embassy of Sweden 0.6 km; Krungthai Bank Head Office 0.6 km; Health Land Asoke 0.6 km; Wattana Church 0.6 km; Soi Nana 0.6 km; Korean Town 0.7 km; Oskar Bistro 0 km; Don Muang Airport 20.1 km; Suvarnabhumi Airport 21.7 km; Central Embassy 1.2 km; Amarin Plaza 1.7 km; Gaysorn Shopping Mall 1.8 km; Lumpini Park 2.2 km; SEA LIFE Bangkok Ocean World 2.4 km; MBK Shopping Mall 3 km; Temple of the Golden Mount 5.5 km; Grand Palace 7.1 km; Wat Arun 7.4 km; Mega Bangna 17.1 km; ,Non-smoking rooms; Fitness center; Family rooms; Free parking; WiFi in all areas; Facilities for disabled guests; Breakfast,"Tuesday, March 19, 2019","Wednesday, March 20, 2019"
0,9,PR Place Hotel,"120/1 Ratchaprarop Rd. (In front of Soi Ratchaprrarop 5) Ratchathewi, Pathumwan, 10400 Bangkok, Thailand",,8.1,Ratchaprarop Station 0.1 km; Baiyoke Sky Tower 0.2 km; Wholesale Market (Pratunam) 0.3 km; Phyathai 1 Hospital 0.4 km; Shibuya 19 0.4 km; Suan Pakkad Palace Museum 0.6 km; Platinum Fashion Mall 0.6 km; Pantip Plaza 0.6 km; King Power Complex 0.7 km; Aksra Theatre 0.8 km; Pratunam 0.2 km; Don Muang Airport 19.6 km; Suvarnabhumi Airport 23.6 km; The Platinum fashion mall Mall; Gaysorn Shopping Mall 1 km; Amarin Plaza 1.2 km; SEA LIFE Bangkok Ocean World 1.2 km; Central Embassy 1.2 km; Bangkok Art & Culture Centre 1.5 km; MBK Shopping Mall 1.8 km; Arab Street 1.8 km; Temple of the Golden Mount 3.8 km; Grand Palace 5.4 km; Wat Arun 5.9 km; ,Non-smoking rooms; Family rooms; Free WiFi; Terrace; Air conditioning,"Tuesday, March 19, 2019","Wednesday, March 20, 2019"
