,hid,roomName,bedType,capacity,rackPrice,price,breakfast,features
0,0,6-Bed Mixed Dormitory Room,2 bunk beds,2,THB 637.20,THB 637.20,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper
1,0,6-Bed Mixed Dormitory Room,2 bunk beds,2,THB 771.12,THB 771.12,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper
2,0,4-Bed Mixed Dormitory Room,2 bunk beds,2,THB 771.12,THB 771.12,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
3,0,4-Bed Mixed Dormitory Room,2 bunk beds,2,"THB 1,542.78","THB 1,542.78",Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
4,0,Quadruple Room with Shared Bathroom,2 bunk beds,4,"THB 1,542.78","THB 1,542.78",Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; More
5,0,Quadruple Room with Shared Bathroom,2 bunk beds,4,"THB 1,913.38","THB 1,913.38",Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; More
6,0,Dormitory Room (6 Adults) with Shared Bathroom,6 bunk beds,6,"THB 1,913.38","THB 1,913.38",Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
7,0,Dormitory Room (6 Adults) with Shared Bathroom,6 bunk beds,6,THB 318.60,THB 318.60,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
8,0,Bed in 6-Bed Mixed Dormitory Room,1 bunk bed,t,THB 318.60,THB 318.60,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
9,0,Bed in 6-Bed Mixed Dormitory Room,1 bunk bed,t,THB 385.56,THB 385.56,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
10,0,Bed in 4-Bed Mixed Dormitory Room,1 bunk bed,t,THB 385.56,THB 385.56,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
11,0,Bed in 4-Bed Mixed Dormitory Room,1 bunk bed,t,THB 385.56,THB 385.56,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
12,0,Bed in 6-Bed Female Dormitory Room,1 bunk bed,t,THB 385.56,THB 385.56,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
13,0,Bed in 6-Bed Female Dormitory Room,1 bunk bed,t,THB 424.44,THB 424.44,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
14,0,Bed in 4-Bed Female Dormitory Room,1 bunk bed,t,THB 424.44,THB 424.44,Continental breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,Air conditioning; Free WiFi; Shower; Hairdryer; Shared bathroom; Free toiletries; Toilet; Shared toilet; Towels/Sheets (extra fee); Towels; Linens; Toilet paper; More
0,3,Apartment with Balcony,,4,"THB 1,888            ","THB 1,604.80",Non-refundable,"38 m²; Balcony with view; Balcony, City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; Balcony; Cable channels; Iron; Ironing facilities; Fan; Washing machine; Heating; Walk-in closet; Sofa; Wardrobe or closet; Cleaning products; Electric blankets; Sofa bed; Hairdryer; Free toiletries; Toilet paper; Kitchenette; Refrigerator; Microwave; Kitchen; Electric kettle; Kitchenware; Oven; Dining table; Towels/Sheets (extra fee); Towels; Linens; Upper floors accessible by elevator; Private apartment in building"
1,3,One-Bedroom Apartment,,2,,,,
0,5,Superior Double Room,1 full bed,2,"THB 1,999","THB 1,999",Breakfast THB 180; (optional); Non-refundable,Air conditioning; Private bathroom; Flat-screen TV; Free WiFi; Minibar; Shower; Safe; Telephone; Hairdryer; Refrigerator; Sitting area; Free toiletries; Toilet; Satellite channels; Cable channels; Hardwood or parquet floors; Wardrobe or closet; Towels; Linens; Toilet paper
1,5,Superior Double Room,1 full bed,2,"THB 2,099","THB 2,099","Breakfast THB 180; (optional); FREE cancellation; before 11:59 PM on February 26, 2019; NO PREPAYMENT NEEDED – pay at the property",Air conditioning; Private bathroom; Flat-screen TV; Free WiFi; Minibar; Shower; Safe; Telephone; Hairdryer; Refrigerator; Sitting area; Free toiletries; Toilet; Satellite channels; Cable channels; Hardwood or parquet floors; Wardrobe or closet; Towels; Linens; Toilet paper
2,5,Grand Deluxe Double Room,1 full bed,2,"THB 2,199","THB 2,199",Breakfast THB 180; (optional); Non-refundable,Air conditioning; Private bathroom; Flat-screen TV; Free WiFi; Minibar; Shower; Safe; Telephone; Hairdryer; Refrigerator; Sitting area; Free toiletries; Toilet; Satellite channels; Cable channels; Hardwood or parquet floors; Wardrobe or closet; Towels; Linens; Toilet paper; More
