,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_location_rating,hotel_nearby_place_distance,hotel_popular_place_distance,hotel_user_Ratings,hotel_user_Ratings_text,hotel_room_type,hotel_room_Benefits,feature_data,Features,adult_capacity,children_capacity,Room Capacity,Balcony/terrace,Kitchenette,Free Wi-Fi,Executive lounge access,Hair dryer,Open air bath privileges,Towels,TV [in bathroom],Mirror,Additional bathroom,Whirlpool bathtub,Additional toilet,Bathroom phone,Scale,Cleaning products,Toiletries,Bathrobes,Free Wi-Fi in all rooms!,Internet access – LAN,In-room tablet,Wi-Fi [charges apply],Video game console,LAN Internet in room [free],On-demand movies,iPod docking station,TV,Telephone,Satellite/cable channels,LAN Internet in room [charges apply],Wi-Fi [free],Internet access – wireless,TV [flat screen],DVD/CD player,Umbrella,Daily newspaper,Electric blanket,Heating,Private entrance,Air conditioning,Air purifier,Humidifier,Linens,Wake-up service,Mosquito net,Fan,Alarm clock,Slippers,Blackout curtains,Soundproofing,Free instant coffee,Free welcome drink,Coffee/tea maker,Kitchenware,Full kitchen,Microwave,Dishwasher,Free bottled water,Refrigerator,Complimentary tea,Mini bar,kitchen,High chair,High floor,Interconnecting room(s) available,Seating area,Sofa,Laptop workspace,Separate living room,Fireplace,Carpeting,Wooden/parqueted flooring,Extra long bed,Separate dining area,Desk,Clothes dryer,Ironing facilities,Trouser press,Shoeshine kit,Sewing kit,Dressing room,Washing machine,Closet,Clothes rack,Locker,Carbon monoxide detector,Pets allowed in room,Smoke detector,In-room safe box,Laptop safe box,Fire extinguisher,First aid kit,hotel_price,benefit_free_wifi,benefit_free_breakfast,benefit_cancel_policy,benefit_free_cancellation,benefit_pay_nothing,benefit_low_price,benefit_pay_at_hotel,benefit_book_without_card,benefit_airport,benefit_express,view_City view,view_Country view,view_Courtyard view,view_Garden view,view_Lake view,view_Nature view,view_No Windows view,view_Park view,view_Pool view,view_River view,view_Street view,view_unknown,district_Bang Kapi,district_Bang Na,district_Bangkok Riverside,district_Chatuchak,district_China Town,district_Don Mueang International Airport,district_Khaosan,district_Pratunam,district_Ratchadaphisek,district_Sathorn,district_Siam,district_Silom,district_South Thonburi,district_Sukhumvit,district_Suvarnabhumi Airport,district_Thonburi,district_Wireless
0,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,8.0,Excellent,4 Bed (Female),"Pay nothing until March 16, 2019 ;Free Wi-Fi ;Free cancellation before March 18, 2019 ;","{'Features': '1 single bed&&Room size: 30 m²/323 ft²&&City view&&Non-smoking&&7 bathrooms&&Shared bathroom&&Kitchenette&&Free Wi-Fi&&', 'Bed types': '1 single bed&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&TV&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Full kitchen&&Kitchenware&&', 'Layout and furnishings': 'Desk&&Seating area&&', 'Clothing and laundry': 'Clothes dryer&&Dressing room&&Washing machine&&', 'Safety and security features': '', 'Guest ratings': '&&'}",1 single bed&&Room size: 30 m²/323 ft²&&City view&&Non-smoking&&7 bathrooms&&Shared bathroom&&Kitchenette&&Free Wi-Fi&&,1.0,0.0,30.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,276,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,8.0,Excellent,4 Bed (Female),"Pay at the hotel ;Free Wi-Fi ;Free cancellation before March 18, 2019 ;","{'Features': '1 single bed&&Room size: 30 m²/323 ft²&&City view&&Non-smoking&&7 bathrooms&&Shared bathroom&&Kitchenette&&Free Wi-Fi&&', 'Bed types': '1 single bed&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&TV&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Full kitchen&&Kitchenware&&', 'Layout and furnishings': 'Desk&&Seating area&&', 'Clothing and laundry': 'Clothes dryer&&Dressing room&&Washing machine&&', 'Safety and security features': '', 'Guest ratings': '&&'}",1 single bed&&Room size: 30 m²/323 ft²&&City view&&Non-smoking&&7 bathrooms&&Shared bathroom&&Kitchenette&&Free Wi-Fi&&,1.0,0.0,30.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,276,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,8.0,Excellent,Single Bed in Mixed Dormitory Room,"Pay nothing until March 16, 2019 ;Free Wi-Fi ;Free cancellation before March 18, 2019 ;","{'Features': '6 single beds&&Room size: 25 m²/269 ft²&&City view&&Non-smoking&&4 bathrooms&&Shared bathroom&&Free Wi-Fi&&', 'Bed types': '6 single beds&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&iPod docking station&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Full kitchen&&Microwave&&', 'Layout and furnishings': 'Desk&&Seating area&&', 'Clothing and laundry': 'Clothes dryer&&Washing machine&&', 'Safety and security features': '', 'Guest ratings': '&&'}",6 single beds&&Room size: 25 m²/269 ft²&&City view&&Non-smoking&&4 bathrooms&&Shared bathroom&&Free Wi-Fi&&,1.0,1.0,25.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1020,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,8.0,Excellent,Single Bed in Mixed Dormitory Room,"Pay at the hotel ;Free Wi-Fi ;Free cancellation before March 18, 2019 ;","{'Features': '6 single beds&&Room size: 25 m²/269 ft²&&City view&&Non-smoking&&4 bathrooms&&Shared bathroom&&Free Wi-Fi&&', 'Bed types': '6 single beds&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&iPod docking station&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Full kitchen&&Microwave&&', 'Layout and furnishings': 'Desk&&Seating area&&', 'Clothing and laundry': 'Clothes dryer&&Washing machine&&', 'Safety and security features': '', 'Guest ratings': '&&'}",6 single beds&&Room size: 25 m²/269 ft²&&City view&&Non-smoking&&4 bathrooms&&Shared bathroom&&Free Wi-Fi&&,1.0,1.0,25.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1020,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,8.0,Excellent,8 Bed (Female),"Pay nothing until March 16, 2019 ;Free Wi-Fi ;Free cancellation before March 18, 2019 ;","{'Features': '1 single bed&&Room size: 40 m²/431 ft²&&Garden view&&Non-smoking&&8 bathrooms&&Shared bathroom&&Free Wi-Fi&&', 'Bed types': '1 single bed&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&TV&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Microwave&&', 'Layout and furnishings': 'Desk&&Seating area&&', 'Clothing and laundry': 'Clothes dryer&&Dressing room&&Washing machine&&', 'Safety and security features': 'Locker&&', 'Guest ratings': '&&'}",1 single bed&&Room size: 40 m²/431 ft²&&Garden view&&Non-smoking&&8 bathrooms&&Shared bathroom&&Free Wi-Fi&&,1.0,1.0,40.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,425,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,8.0,Excellent,8 Bed (Female),"Pay at the hotel ;Free Wi-Fi ;Free cancellation before March 18, 2019 ;","{'Features': '1 single bed&&Room size: 40 m²/431 ft²&&Garden view&&Non-smoking&&8 bathrooms&&Shared bathroom&&Free Wi-Fi&&', 'Bed types': '1 single bed&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&TV&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Microwave&&', 'Layout and furnishings': 'Desk&&Seating area&&', 'Clothing and laundry': 'Clothes dryer&&Dressing room&&Washing machine&&', 'Safety and security features': 'Locker&&', 'Guest ratings': '&&'}",1 single bed&&Room size: 40 m²/431 ft²&&Garden view&&Non-smoking&&8 bathrooms&&Shared bathroom&&Free Wi-Fi&&,1.0,1.0,40.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,425,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,8.0,Excellent,4-Bed Mixed Dormitory,"Pay nothing until March 16, 2019 ;Free Wi-Fi ;Free cancellation before March 18, 2019 ;","{'Features': '1 single bed&&Room size: 30 m²/323 ft²&&Street view&&Balcony/terrace&&Non-smoking&&4 bathrooms&&Shared bathroom&&Free Wi-Fi&&', 'Bed types': '1 single bed&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&iPod docking station&&TV&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Full kitchen&&Kitchenware&&Microwave&&', 'Layout and furnishings': 'Desk&&Seating area&&', 'Clothing and laundry': 'Clothes dryer&&Dressing room&&Washing machine&&', 'Safety and security features': 'Locker&&', 'Guest ratings': '&&'}",1 single bed&&Room size: 30 m²/323 ft²&&Street view&&Balcony/terrace&&Non-smoking&&4 bathrooms&&Shared bathroom&&Free Wi-Fi&&,1.0,1.0,30.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,276,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,8.0,Excellent,4-Bed Mixed Dormitory,"Pay at the hotel ;Free Wi-Fi ;Free cancellation before March 18, 2019 ;","{'Features': '1 single bed&&Room size: 30 m²/323 ft²&&Street view&&Balcony/terrace&&Non-smoking&&4 bathrooms&&Shared bathroom&&Free Wi-Fi&&', 'Bed types': '1 single bed&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&iPod docking station&&TV&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Full kitchen&&Kitchenware&&Microwave&&', 'Layout and furnishings': 'Desk&&Seating area&&', 'Clothing and laundry': 'Clothes dryer&&Dressing room&&Washing machine&&', 'Safety and security features': 'Locker&&', 'Guest ratings': '&&'}",1 single bed&&Room size: 30 m²/323 ft²&&Street view&&Balcony/terrace&&Non-smoking&&4 bathrooms&&Shared bathroom&&Free Wi-Fi&&,1.0,1.0,30.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,276,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,8.0,Excellent,10-Bed Dormitory -- Mixed,"Pay nothing until March 16, 2019 ;Free Wi-Fi ;Free cancellation before March 18, 2019 ;","{'Features': '1 single bed&&Room size: 35 m²/377 ft²&&Non-smoking&&8 bathrooms&&Shared bathroom&&Kitchenette&&Free Wi-Fi&&', 'Bed types': '1 single bed&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&iPod docking station&&TV&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&', 'Dining, drinking, and snacking': 'Kitchenware&&Microwave&&', 'Layout and furnishings': 'Laptop workspace&&', 'Clothing and laundry': 'Dressing room&&Washing machine&&', 'Safety and security features': 'Locker&&', 'Guest ratings': '&&'}",1 single bed&&Room size: 35 m²/377 ft²&&Non-smoking&&8 bathrooms&&Shared bathroom&&Kitchenette&&Free Wi-Fi&&,1.0,1.0,35.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,425,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,8.0,Excellent,10-Bed Dormitory -- Mixed,"Pay at the hotel ;Free Wi-Fi ;Free cancellation before March 18, 2019 ;","{'Features': '1 single bed&&Room size: 35 m²/377 ft²&&Non-smoking&&8 bathrooms&&Shared bathroom&&Kitchenette&&Free Wi-Fi&&', 'Bed types': '1 single bed&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&iPod docking station&&TV&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&', 'Dining, drinking, and snacking': 'Kitchenware&&Microwave&&', 'Layout and furnishings': 'Laptop workspace&&', 'Clothing and laundry': 'Dressing room&&Washing machine&&', 'Safety and security features': 'Locker&&', 'Guest ratings': '&&'}",1 single bed&&Room size: 35 m²/377 ft²&&Non-smoking&&8 bathrooms&&Shared bathroom&&Kitchenette&&Free Wi-Fi&&,1.0,1.0,35.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,425,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
