,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_property_highlights,hotel_location_rating,hotel_location_level,hotel_nearby_place_distance,hotel_popular_place_distance
0,0,Novotel Bangkok Sukhumvit 4,"27 Sukhumvit 4 Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",4.0,280 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,8.0,Excellent,"['Nana Fashions && 60 m', 'R and R Apparel International && 110 m', 'Sin Bar && 160 m', ""Nickermann's Tailors && 190 m"", ""Raja's Fashions && 190 m"", 'Embassy of Sweden && 240 m', 'Rajawongse Clothier && 280 m', 'Paul Bespoke && 280 m', 'Nana BTS Station && 280 m', 'Nana District && 290 m']","['Terminal 21 Shopping Mall && 820 m', 'Central World && 1.65 km', 'Jim Thompson && 2.88 km', 'Yaowarat Road && 4.69 km', 'Wat Saket && 5.26 km', 'Khao San Road && 6.33 km', 'Wat Pho Temple && 6.56 km', 'Asiatique - The Riverfront && 6.65 km', 'Wat Phra Kaew && 6.7 km', 'Grand Palace && 6.76 km']"
1,1,Solitaire Bangkok Sukhumvit 11,"75/23 Soi Sukhumvit 13 Sukhumvit Road, Klongtoey-Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",4.5,570 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,8.0,Excellent,"['Twisted Republic && 160 m', 'Ambassador Hotel Fitness Centre && 250 m', 'Cheap Charlie’s && 300 m', 'Wattana Wittaya\xa0Academy && 330 m', 'Best Tailor && 350 m', 'Buathip Thai Massage && 390 m', 'Nest Rooftop Bar && 390 m', 'Patrick&Co && 420 m', 'Embassy of Syria && 430 m', ""Nick's International Boutique House && 450 m""]","['Terminal 21 Shopping Mall && 910 m', 'Central World && 1.97 km', 'Jim Thompson && 3.18 km', 'Yaowarat Road && 5.2 km', 'Wat Saket && 5.58 km', 'Khao San Road && 6.61 km', 'Wat Pho Temple && 7 km', 'Wat Phra Kaew && 7.1 km', 'Grand Palace && 7.15 km', 'Asiatique - The Riverfront && 7.43 km']"
2,2,Nasa Vegas Hotel,"44 Sukhumvit 71-Ramkhamhaeng Road, Suanluang (Airport Link - Ramkhamhaeng Station), Ratchadaphisek, Bangkok, Thailand, 10250",3.0,170 meters to public transportation &&Free Wi-Fi in all rooms!&&Mini bar&&Daily housekeeping&&,7.8,Very good,"['Airport Rail Link Ramkhamhaeng Station && 170 m', 'Klong Tan Pier && 410 m', 'Dr Panya Hospital && 610 m', 'Khlongtun Hospital && 810 m', 'Central Plaza Grand Rama 9 && 1.02 km', 'Seri Market && 1.09 km', 'Embassy of Bangladesh && 1.21 km', 'Rama XI Marsh && 1.29 km', 'Chan Issara Pier && 1.45 km', 'Phanphirom Park && 1.46 km']","['Terminal 21 Shopping Mall && 4.52 km', 'Central World && 6.77 km', 'Jim Thompson && 7.97 km', 'Yaowarat Road && 9.96 km', 'Wat Saket && 10.36 km', 'Khao San Road && 11.37 km', 'Asiatique - The Riverfront && 11.49 km', 'Wat Pho Temple && 11.79 km', 'Wat Phra Kaew && 11.9 km', 'Grand Palace && 11.94 km']"
3,3,Narra hotel,"Soi Chang Watthana 13, Don Mueang International Airport, Bangkok, Thailand, 10210",3.5,Free Wi-Fi in all rooms!&&Daily housekeeping&&Elevator&&Air conditioning&&,8.4,Excellent,"['Government Complex && 640 m', 'Ámantee && 710 m', 'Parso Driving range && 1.92 km', 'Thailand Post && 2.18 km', 'TOT Public Company Limited && 2.18 km', 'Asian Pacific Postal Union Bureau (APPU) && 2.18 km', 'Department of Consular Affairs && 2.18 km', 'Administrative Court && 2.18 km', 'Immigration 1 Division && 2.18 km', 'IT Square && 2.28 km']","['Jim Thompson && 16.28 km', 'Khao San Road && 16.37 km', 'Central World && 16.42 km', 'Wat Saket && 16.48 km', 'Terminal 21 Shopping Mall && 17.16 km', 'Grand Palace && 17.48 km', 'Wat Phra Kaew && 17.52 km', 'Yaowarat Road && 17.76 km', 'Wat Pho Temple && 17.83 km', 'Asiatique - The Riverfront && 21.84 km']"
4,4,The Berkeley Hotel Pratunam,"559 Ratchathewi, Pratunam, Bangkok, Thailand, 10400",5.0,490 meters to public transportation &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&Blackout curtains&&,8.7,Excellent,"['Pratunum Market && 50 m', 'Palladium Square Shopping Mall && 70 m', 'Trimurti Shrine && 140 m', 'Pratunam Pier && 140 m', 'Papaya Furniture && 150 m', ""Paul's Fashion && 170 m"", 'Royal Asia Boutique && 170 m', 'Pratunam Center && 190 m', 'Platinum Fashion Mall && 210 m', 'Newman Exclusive Tailor && 230 m']","['Central World && 580 m', 'Jim Thompson && 1.48 km', 'Terminal 21 Shopping Mall && 2.45 km', 'Yaowarat Road && 3.66 km', 'Wat Saket && 3.84 km', 'Khao San Road && 4.86 km', 'Wat Pho Temple && 5.34 km', 'Wat Phra Kaew && 5.41 km', 'Grand Palace && 5.45 km', 'Asiatique - The Riverfront && 6.64 km']"
5,5,Grande Centre Point Hotel Ratchadamri,"153/2 Soi Mahatlekluang 1, Ratchadamri Road, Lumpini, Pathumwan, Siam, Bangkok, Thailand, 10330",5.0,260 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Sauna&&,8.9,Excellent,"['Peninsula Tailors Bangkok && 40 m', 'Peninsula Plaza && 50 m', 'Royal Maneeya Tower && 140 m', 'Amarin Tower && 150 m', 'RJ Uomo && 230 m', 'Absolute Yoga && 250 m', 'Ratchadamri BTS Station && 260 m', 'Ratchaprasong Intersection Shrines && 260 m', 'Diora Bangkok Langsuan Spa && 270 m', 'Amarin Plaza && 270 m']","['Central World && 470 m', 'Jim Thompson && 1.58 km', 'Terminal 21 Shopping Mall && 2.17 km', 'Yaowarat Road && 3.37 km', 'Wat Saket && 3.93 km', 'Khao San Road && 5 km', 'Wat Pho Temple && 5.22 km', 'Wat Phra Kaew && 5.36 km', 'Grand Palace && 5.41 km', 'Asiatique - The Riverfront && 5.85 km']"
6,6,Great Residence Suvarnabhumi Hotel,"1892/1-3 Lat Krabang District, Lat Krabang, Suvarnabhumi Airport, Bangkok, Thailand, 10520",3.0,Airport transfer &&Free Wi-Fi in all rooms!&&Balcony/terrace&&Mini bar&&,7.9,Very good,"['Lat Krabang Hospital && 1.1 km', 'Wat Plooksattha && 1.36 km', 'Jarakaenoi Police station && 1.64 km', 'Lady of Loundes Catholic Church && 2.12 km', 'Wat Polmanee && 2.48 km', 'Wat Latkrabang && 2.71 km', 'Krua Rabieng Nam Restaurant && 2.81 km', 'Suvarnabhumi Bangkok College && 2.94 km', 'Ladkrabang Railway Station && 3.22 km', 'Airport Rail Link Ladkrabang && 3.22 km']","['Terminal 21 Shopping Mall && 23.41 km', 'Central World && 25.79 km', 'Jim Thompson && 27.01 km', 'Yaowarat Road && 28.9 km', 'Wat Saket && 29.4 km', 'Asiatique - The Riverfront && 29.49 km', 'Khao San Road && 30.42 km', 'Wat Pho Temple && 30.79 km', 'Wat Phra Kaew && 30.92 km', 'Grand Palace && 30.97 km']"
7,7,Baan Mek Mok,"306 Soi Pongvetanusorn 2 Sukhumvit 64, Bangchak, Phra Khanong, Bangkok, 10260, THA, Baan Mek Mok, Sukhumvit, Bangkok, Thailand, 10260",3.0,500 meters to public transportation &&Free Wi-Fi in all rooms!&&Blackout curtains&&Balcony/terrace&&,6.7,Good,"['Punnawithi BTS Station && 500 m', 'Bangchak BTS Station && 650 m', 'Siam Paradise Night Bazar && 850 m', '101 The Third Place && 850 m', 'The Orthodox St.Nicolas Church && 1 km', 'Asia Herb Association - Phrom Phong Shop && 1.03 km', 'Tokai Surgery Clinic && 1.09 km', 'On Nut Market && 1.17 km', 'Udom Suk BTS Station && 1.22 km', 'Dhammamongkol Temple && 1.37 km']","['Terminal 21 Shopping Mall && 7.11 km', 'Central World && 9.4 km', 'Jim Thompson && 10.54 km', 'Asiatique - The Riverfront && 11.05 km', 'Yaowarat Road && 11.7 km', 'Wat Saket && 12.74 km', 'Wat Pho Temple && 13.62 km', 'Khao San Road && 13.83 km', 'Wat Phra Kaew && 13.88 km', 'Grand Palace && 13.94 km']"
8,8,The Bedroom Ladprao 101,"99 Soi Ladprao 101 Ladprao Road Klongchan, Bangkapi Bangkok, Bang Kapi, Bangkok, Thailand, 10240",4.0,Airport transfer &&Free Wi-Fi in all rooms!&&Breakfast [free]&&Balcony/terrace&&,6.9,Good,"['Foodland Lard Prao && 1.27 km', 'Vejthani Hospital && 1.8 km', 'Imperial World Lard Prao && 2.03 km', 'Dr Somchai Clinic && 2.46 km', 'Crystal Design Center && 2.5 km', 'Tawanna Plaza && 2.51 km', 'N Mark Plaza && 2.52 km', 'Major Cineplex Bangkapi && 2.53 km', 'Raan Bai Mai && 2.58 km', 'Nawamin Phirom Park && 2.63 km']","['Terminal 21 Shopping Mall && 9.44 km', 'Central World && 10.95 km', 'Jim Thompson && 11.89 km', 'Wat Saket && 13.96 km', 'Yaowarat Road && 14.12 km', 'Khao San Road && 14.75 km', 'Wat Phra Kaew && 15.6 km', 'Grand Palace && 15.63 km', 'Wat Pho Temple && 15.63 km', 'Asiatique - The Riverfront && 16.63 km']"
9,9,Aspira Grand Regency Sukhumvit 22,"12/3, Soi Sukhumvit 22, Sukhumvit, Bangkok, Thailand, 10110",4.0,520 meters to public transportation &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&Mini bar&&,7.7,Very good,"['Gallery F-Stop && 140 m', 'Mambo Cabaret && 140 m', ""Stylo's Collection && 170 m"", 'Damanino Bespoke && 180 m', 'De Fabiano Bespoke Tailors && 190 m', 'Fiorenzo Tailor && 220 m', 'Subhashok The Arts Centre (S.A.C.) && 250 m', 'Jass Fashions && 250 m', 'Villa Market Sukhumvit && 270 m', 'Dptailors && 290 m']","['Terminal 21 Shopping Mall && 780 m', 'Central World && 3.18 km', 'Jim Thompson && 4.39 km', 'Yaowarat Road && 6.05 km', 'Wat Saket && 6.75 km', 'Asiatique - The Riverfront && 7.35 km', 'Khao San Road && 7.83 km', 'Wat Pho Temple && 7.97 km', 'Wat Phra Kaew && 8.14 km', 'Grand Palace && 8.19 km']"
