,hotel_id_in_our_database,hotel_user_Ratings,hotel_user_Ratings_text,hotel_room_Type_Names,hotel_room_Prices,hotel_room_Currency,hotel_room_Benefits,hotel_room_Capacities,feature_data,hotel_room_Prices_standard
0,0,8.4,Excellent,Deluxe Room with 1 King Bed,2697.0,฿,Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 2, 'extra_bed': 0}","{'Features': '1 king bed&&Room size: 26 m²/280 ft²&&City view&&Non-smoking&&Shower&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Seating area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&'}",2697.0
1,0,8.4,Excellent,Deluxe Room with 1 King Bed,2900.0,฿,Pay at the hotel ;Free Wi-Fi ;FREE cancellation ;,"{'adults': 2, 'children': 2, 'extra_bed': 0}","{'Features': '1 king bed&&Room size: 26 m²/280 ft²&&City view&&Non-smoking&&Shower&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Seating area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&'}",2900.0
2,0,8.4,Excellent,Deluxe Room with 1 King Bed,3097.0,฿,Free breakfast for 2 ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 2, 'extra_bed': 0}","{'Features': '1 king bed&&Room size: 26 m²/280 ft²&&City view&&Non-smoking&&Shower&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Seating area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&'}",3097.0
3,0,8.4,Excellent,Deluxe Room with 2 single beds,2697.0,฿,Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 2, 'extra_bed': 0}","{'Features': '2 single beds&&Room size: 26 m²/280 ft²&&City view&&Non-smoking&&Shower&&Free Wi-Fi&&', 'Bed types': '2 single beds&&', 'Bathroom and toiletries': 'Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Seating area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&'}",2697.0
4,0,8.4,Excellent,Deluxe Room with 2 single beds,2900.0,฿,Pay at the hotel ;Free Wi-Fi ;FREE cancellation ;,"{'adults': 2, 'children': 2, 'extra_bed': 0}","{'Features': '2 single beds&&Room size: 26 m²/280 ft²&&City view&&Non-smoking&&Shower&&Free Wi-Fi&&', 'Bed types': '2 single beds&&', 'Bathroom and toiletries': 'Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Seating area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&'}",2900.0
5,0,8.4,Excellent,Deluxe Room with 2 single beds,3097.0,฿,Free breakfast for 2 ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 2, 'extra_bed': 0}","{'Features': '2 single beds&&Room size: 26 m²/280 ft²&&City view&&Non-smoking&&Shower&&Free Wi-Fi&&', 'Bed types': '2 single beds&&', 'Bathroom and toiletries': 'Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Seating area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&'}",3097.0
6,0,8.4,Excellent,,,,,,,
7,0,8.4,Excellent,Grand Deluxe,3197.0,฿,Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'adults': 2, 'children': 2, 'extra_bed': 0}","{'Features': '1 king bed&&Room size: 33 m²/355 ft²&&City view&&Non-smoking&&Shower&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Seating area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&'}",3197.0
8,0,8.4,Excellent,Grand Deluxe,3400.0,฿,"Pay nothing until March 4, 2019 ;Free Wi-Fi ;Free cancellation before March 6, 2019 ;","{'adults': 2, 'children': 2, 'extra_bed': 0}","{'Features': '1 king bed&&Room size: 33 m²/355 ft²&&City view&&Non-smoking&&Shower&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Seating area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&'}",3400.0
9,0,8.4,Excellent,Grand Deluxe,3400.0,฿,Pay at the hotel ;Free Wi-Fi ;FREE cancellation ;,"{'adults': 2, 'children': 2, 'extra_bed': 0}","{'Features': '1 king bed&&Room size: 33 m²/355 ft²&&City view&&Non-smoking&&Shower&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Seating area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&'}",3400.0
